search.id,University,Department,Position,Name,ecoevo,sex,PhD.taiwan,PhD.country,PhD.university,PhD.uni.rank,PhD,Assistant.since,full.professor,time.to.assistant,time.to.full,Paper.number.before,Paper.number.after,Associate.since,Professor.since,Year,Papers,Citations,Years,Cites_Year,Cites_Paper,Cites_Author,Papers_Author,Authors_Paper,h_index_before,h_index_after,h_index_diff,g_index,hc_index,hI_index,hI_norm,AWCR,AW_index,AWCRpA,e_index,hm_index,QueryDate,Cites_Author_Year,hI_annual,h_coverage,g_coverage,star_count,year_first,year_last,ECC,acc1,acc2,acc5,acc20,hA,beforeafter,stage
103,Academia Sinica,Biodiversity Research Center,Professor,Sen-Lin_Tang,1,m,non-Taiwan,Australia,The University of Melbourne,37,2002,2006,2016,4,10,NA,NA,NA,NA, 2002 to 2006,8,792,19,41.68,99,228.42,2.23,3.75,6,11,5,8,6,1.71,6,44.61,6.68,12.99,27.46,1.78,12/1/21 1:35,12.02,0.32,99.7,100,1,2002,2006,792,6,6,5,0,5,before,assistant
104,National Taiwan University,Institute of Fisheries Science,Assistant Professor,Shan-Hua_Yang,1,f,Taiwan,Taiwan,National Chung Hsing University,675,2015,2019,NA,4,NA,NA,NA,NA,NA, 2015 to 2019,7,118,5,23.6,16.86,24.58,1.68,4.71,6,NA,,7,6,1.16,3,35.13,5.93,7.02,9,1.18,12/17/21 1:49,4.91,0.6,99.2,100,1,2016,2019,118,6,6,2,0,4,before,assistant
105,National Sun Yat-sen University,Department of Marine Biotechnology and Resources,Assistant Professor,Shang-Yin_Vanson Liu,1,m,Taiwan,Taiwan,National Taiwan University,68,2008,2015,NA,7,NA,NA,NA,NA,NA, 2011 to 2015,10,212,9,23.56,21.2,49.93,2.72,4.1,7,5,-2,10,6,1.63,5,27.21,5.22,6.31,12.49,1.88,12/21/21 1:02,5.54,0.56,96.7,100,1,2012,2015,212,7,6,1,0,3,before,assistant
106,National Chung Hsing University,Department of Entomology,Professor,Shaw-Yhi_Hwang,1,m,non-Taiwan,USA,University of Wisconsin - Madison,75,1997,2000,2009,3,9,NA,NA,NA,NA, 1996 to 2000,7,698,25,27.92,99.71,332.5,3,2.43,6,5,-1,7,5,2.57,6,29.9,5.47,14.17,25.73,2.67,12/12/21 5:13,13.3,0.24,100,100,0,1996,2000,698,6,5,3,0,4,before,assistant
107,National Sun Yat-sen University,Department of Biological Sciences,Associate Professor,Shen-Horn_Yen,1,m,non-Taiwan,UK,Imperial College London,7,2004,2006,NA,2,NA,NA,NA,NA,NA, 2002 to 2006,17,591,18,32.83,34.76,152.47,7.42,3.06,9,6,-3,17,5,2.38,7,36.19,6.02,9.4,21.56,5.34,12/8/21 3:47,8.47,0.39,92.4,100,1,2003,2006,591,6,4,2,0,3,before,assistant
108,Academia Sinica,Biodiversity Research Center,Professor,Sheng-Feng_Shen,1,m,non-Taiwan,USA,Cornell University,21,2009,2010,2021,1,11,NA,NA,NA,NA, 2006 to 2010,8,291,15,19.4,36.38,127.08,3.17,2.75,7,5,-2,8,5,2.58,6,23.71,4.87,10.23,15.49,2.83,12/1/21 2:33,8.47,0.4,99.3,100,0,2006,2010,291,7,5,1,0,4,before,assistant
109,National Sun Yat-sen University,Department of Biological Sciences,Assistant Professor,Shih-Hui_Liu,1,f,non-Taiwan,USA,Saint Louis University,,2017,2019,NA,2,NA,NA,NA,NA,NA, 2015 to 2019,9,110,5,22,12.22,21.67,1.75,5.22,6,NA,,9,6,1.16,2,29.77,5.46,5.83,8.25,1.35,12/8/21 5:07,4.33,0.4,94.5,100,1,2016,2019,110,7,5,1,0,3,before,assistant
110,National Taiwan Normal University,Department of Life Science,Professor,Shih-Ying_Hwang,1,m,non-Taiwan,USA,The Ohio State University,120,1993,1993,2002,0,9,NA,NA,NA,NA, 1989 to 1993,4,106,31,3.42,26.5,54,2.25,2.25,2,0,-2,4,1,1,2,3.53,1.88,1.8,10,2,11/27/21 22:55,1.74,0.06,98.1,100,0,1990,1993,106,1,1,0,0,1,before,assistant
111,National Chung Hsing University,Department of Life Sciences,Professor,"Shih,_Hsi-Te",1,m,Taiwan,Taiwan,National Sun Yat-sen University,412,1999,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,before,assistant
112,National Taiwan University,Department of Entomology,Professor,Shiuh-Feng_Shiao,1,m,Taiwan,Taiwan,National Taiwan University,68,1997,2000,2013,3,13,NA,NA,NA,NA, 1996 to 2000,2,21,25,0.84,10.5,10.5,1,2,2,4,2,2,1,1,2,0.93,0.97,0.47,4.12,1,12/9/21 1:34,0.42,0.08,100,100,0,1996,2000,21,0,0,0,0,1,before,assistant
113,National Taiwan Normal University,Department of Life Science,Professor,Shou-Hsien_Li,1,m,non-Taiwan,USA,State University of New York,378,1997,1999,NA,2,NA,NA,NA,NA,NA, 1995 to 1999,7,690,26,26.54,98.57,241.17,3,2.43,6,6,0,7,4,2.4,6,29.72,5.45,10.37,25.57,2.5,11/28/21 1:48,9.27,0.23,100,100,1,1995,1999,690,4,3,2,0,3,before,assistant
115,National Taiwan Normal University,Department of Life Science,Professor,Si-Min_Lin,1,m,Taiwan,Taiwan,National Taiwan Normal University,334,2003,2004,2016,1,12,NA,NA,NA,NA, 2000 to 2004,3,152,19,8,50.67,45.45,0.78,4,3,5,2,3,2,0.75,2,8.03,2.83,2.4,11.96,0.78,11/28/21 3:10,2.39,0.11,100,100,0,2002,2003,152,2,2,1,0,2,before,assistant
116,National Taiwan University,Department of Agronomy,Assistant Professor,Steven_H._Wu,1,m,non-Taiwan,New Zealand,The University of Auckland,85,2010,2021,NA,11,NA,NA,NA,NA,NA, 2017 to 2021,4,53,4,13.25,13.25,9.6,0.77,5.25,3,NA,,4,3,0.56,2,21.42,4.63,3.78,6.63,0.57,12/18/21 2:22,2.4,0.5,100,100,1,2017,2021,53,3,3,1,0,3,before,assistant
117,National Cheng Kung University,Department of Life Sciences,Associate Professor,"Sung,_Huang-Mo",1,m,non-Taiwan,USA,University of Texas at Dallas,477,2002,2007,NA,5,NA,NA,NA,NA,NA, 2003 to 2007,4,260,18,14.44,65,63.65,1.03,4,4,6,2,4,4,1,4,16.4,4.05,4,15.62,1.03,12/2/21 2:02,3.53,0.22,100,100,0,2003,2007,260,4,3,2,0,3,before,assistant
118,National Cheng Kung University,Department of Life Sciences,Associate Professor,Takefumi_Nakazawa,1,m,non-Taiwan,Japan,Kyoto University,33,2008,2013,NA,5,NA,NA,NA,NA,NA, 2009 to 2013,20,781,12,65.08,39.05,296.52,8.65,3,14,8,-6,20,9,4.78,10,77.95,8.83,30.25,23.45,7.37,12/2/21 2:26,24.71,0.83,95.5,100,1,2009,2013,781,15,13,6,0,5,before,assistant
119,National Sun Yat-sen University,Department of Oceanography,Professor,Te-Yu_Liao,1,m,non-Taiwan,Sweden,Stockholm University,148,2010,2012,2021,2,9,NA,NA,NA,NA, 2008 to 2012,13,287,13,22.08,22.08,74.13,4.56,3.54,8,4,-4,13,6,1.88,5,26.62,5.16,6.92,14.11,3.23,12/21/21 20:20,5.7,0.38,91.6,100,0,2008,2012,287,7,4,1,0,3,before,assistant
120,National Taiwan Normal University,Department of Life Science,Professor,Teng-Chiu_Lin,1,m,non-Taiwan,USA,University of Kansas,387,1995,1995,2000,0,5,NA,NA,NA,NA, 1991 to 1995,1,24,29,0.83,24,6,0.25,4,1,5,4,1,1,0.25,1,0.83,0.91,0.21,4.8,0.25,11/27/21 21:59,0.2,0.03,100,100,0,1992,1992,24,0,0,0,0,1,before,assistant
121,National Taiwan University,Department of Entomology,Associate Professor,Toshinori_Okuyama,1,m,non-Taiwan,USA,University of Florida,173,2006,2008,NA,2,NA,NA,NA,NA,NA, 2004 to 2008,11,935,17,55,85,431.75,7.33,2,10,9,-1,11,8,4.76,10,65.3,8.08,31.1,28.77,6.33,12/9/21 22:08,25.39,0.59,99.3,100,3,2004,2008,935,9,8,4,1,4,before,assistant
122,National Sun Yat-sen University,Department of Marine Biotechnology and Resources,Professor,Tse-Min_Lee,1,m,Taiwan,Taiwan,National Taiwan University,68,1991,1995,2000,4,5,NA,NA,NA,NA, 1991 to 1995,12,676,30,22.53,56.33,267,4.67,2.75,7,15,8,12,6,2.58,6,24.58,4.96,9.76,24.72,4,12/20/21 21:40,8.9,0.2,97.6,100,0,1991,1995,676,6,5,2,0,3,before,assistant
123,National Tsing Hua University,Department of Life Science,Assistant Professor,Tsung-Han_Kuo,1,m,non-Taiwan,USA,Baylor College of Medicine ,,2012,2016,NA,4,NA,NA,NA,NA,NA, 2012 to 2016,8,571,9,63.44,71.38,132.76,2.29,4.25,6,0,-6,8,6,1.24,6,76.33,8.74,18.55,23.02,1.96,11/27/21 4:18,14.75,0.67,99.1,100,3,2012,2016,571,7,6,6,1,6,before,assistant
124,National Cheng Kung University,Department of Life Sciences,Assistant Professor,Tsyr-Huei_Chiou,1,m,non-Taiwan,USA,University of Maryland; Baltimore County,775,2008,2012,NA,4,NA,NA,NA,NA,NA, 2008 to 2012,6,464,13,35.69,77.33,101.3,1.45,4.17,6,6,0,6,5,1.44,5,39.52,6.29,8.75,20.69,1.45,12/2/21 2:51,7.79,0.38,100,100,1,2008,2012,464,5,4,2,1,4,before,assistant
